id,en,zh,info,info_zh
608,Abyssal Helmet,深淵頭盔,"Heavy armor crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的重裝甲.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
609,Realm Katana,域界武士刀,"Dark katana crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的暗黑武士刀.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
610,Abyssal Greaves,深淵護脛,"Heavy armor crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫所製的重裝甲.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
611,Realm Cowl,域界風帽,"Light armor crafted by Apollyon, the destructive exiled Balor mystic. Apollyon sought to destroy lands to stop the falling, but was exiled for his unorthodox approaches.","被流放的毀滅祕法師亞坡倫的輕裝甲.亞坡倫曾試圖摧毀土地以阻止墮落,之後便因其非正統的方法而被流放."
612,Basilisk Talons,巴西利斯克之爪,"A pair of dark kunai, forged of a basilisk's claws.",用巴西利斯克的利爪打造的暗黑苦無.
613,Yeti Overcoat,雪怪大衣,Coat reminiscent of the formidable Yeti. It protects one from the snow and from having their defenses lowered.,讓人想起可怕雪人的大衣，它可以保護穿戴者免受冰凍及防禦力下降。
614,Whetstone,磨刀石,A stone of quartz often used in the sharpening of blades. Using it will freely upgrade your equipped weapon to level 2.,石英磨刀石，使用它可以輕鬆地將武器提升到等級2。
615,Fine Whetstone,良質磨刀石,A stone of quartz often used in the sharpening of blades. Using it will freely upgrade your equipped weapon from level 2 to 3.,石英磨刀石，使用它可以輕鬆地將武器從2級升到3級。
616,Cursed Hood,詛咒兜帽,A seemingly ageless yet pristine hood.,看起來很新的兜帽.
617,Arch-Rune Helmet,奧術符文頭盔,Mystical armor that boasts higher magic defense.,提供更高魔防的神祕盔甲。
618,Cursed Robe,詛咒法袍,A seemingly ageless yet pristine robe.,看起來嶄新的法袍.
619,Terra Boots,自然之靴,Great boots of a mage who controlled the ground below. Grants protection from earthen magic.,操控大地之力法師的長靴.能抵抗大地魔法.
620,Oceanic Boots,海洋長靴,Great boots of a mage who controlled the tides. Grants protection from water & ice.,控制潮汐的大魔法師的長靴.能抵抗水及冰屬性.
621,Arch-Rune Leggings,奧術符文腿甲,Mystical armor that boasts higher magic defense.,提供更高魔防的神祕盔甲。
622,Cursed Boots,詛咒長靴,A seemingly ageless yet pristine pair of boots.,看起來嶄新的靴子.
623,Arc,弧光,"A Greatbow of  Annwn, capable of loosing arcane arrows. It can cause a variety of status effects.",
624,Estoc,穿甲刺劍,"A simple straight sword, useful for sparring. It has a great chance at catching an opponent off guard.",簡單的筆直長劍.能高機率抓住對手防禦的空檔.
625,Stilettos,彈簧刀,A pair of unnecessarily sharp daggers. These will easily cause an opponent to bleed.,鋒利到不像話的匕首.能輕易使對手流血.
626,Gladiator's Sword,角鬥士之劍,"A sword carried by a talented gladiator. Through its might, an opponent's stats can be lowered.",天賦極佳的角鬥士使用的劍.用它能使對手的身體能力降低.
627,Gladiator's Shotel,角鬥士短刀,A shotel carried by a cunning gladiator. Shotels can easily piece of opponent's defenses.,
628,Endbringer,終焉使者,A large unrefined blade of giant warriors.,巨人戰士的粗糙大劍。
629,Court Staff,宮廷之杖,An archistaff of Avalon that is capable of lowering an opponent's resistance.,可以降低敵人魔防的阿瓦隆權杖。
630,Canon Waystone,主線引路石,A stone imbued with the most helpful of magic. Use it to set a compass marker to story quest monster locations.,注入魔法的石頭，使用它可以指引任務怪所在的方位。
631,Handy Waystone,便利引路石,A stone imbued with the most helpful of magic. Use it to set a compass marker to inn quest monster locations.,一塊充滿魔法的石頭。用它來設置指南針標記以搜尋旅館任務怪物位置。
632,Memory Waystone,記憶引路石,A stone that can evoke memories of any location. Using it will place a temporary marker to your current location on your compass.,能讓你記憶任何地點的石頭.使用後會放下一個暫時的路標來指向你目前的地點.
633,Dragon's Arc,龍之弓,A superb bow forged of the remains of a lost dragon. It has a good chance of causing blight.,使用失落巨龍遺骸打造的高超大弓.有高機率造成對手枯萎.
634,Yeti Coat,雪怪外套,Coat reminiscent of the formidable Yeti. It protects one from the snow and from having their defenses lowered.,讓人想起可怕雪人的大衣，它可以保護穿戴者免受冰凍及防禦力下降。
635,Viper Dagger,蛇龍短刀,A fine blade crafted of a great dragon's talon,使用遠古巨龍的爪打造的良質刀刃
636,Dioscuri Archistaff,狄奧斯庫洛伊權杖,"Azure staff of Castor, the Dioscuri magician. Castor and his twin brother seldomly leave the depths of the seas unless truly lacking in other hobbies.",魔法師卡斯托耳的法杖.卡斯托耳和其雙子弟弟除非閒到不行才會離開那深海.
637,Dioscuri Greatbow,狄奧斯庫洛伊長弓,"Azure greatbow of Pollux, the Dioscuri berserker. Pollux and his twin brother seldomly leave the depth of the seas unless truly lacking in other hobbies.",
638,Ranger's Greatbow,遊俠的大弓,"Large, precise bow often carried by rangers of the wood.",林間遊俠常使用的大弓.
639,Infernal Boots,煉獄長靴,Great boots of a mage who controlled the heat. Grants protection from fire.,控制熱能的大魔法師的長靴.能抵抗火屬性。
640,Tempest Boots,暴風長靴,Great boots of a mage who controlled the skies. Grants protection from lightning.,駕馭蒼穹的法師穿的靴子.能抵抗雷電.
641,Arch-Rune Sword,奧術符文劍,A blade of the spellsword.,魔劍士的劍.
642,Dioscuri Mead,狄奧斯庫洛伊蜂蜜酒,"For some reason, the Dioscuri love this terrible drink for its taste and not benefit. Consuming it will temporarily increase you critical hit rate.",
643,Arch-Rune Armor,奧術符文盔甲,Mystical armor that boasts higher magic defense.,提供更高魔防的神祕盔甲。
644,Dioscuri Greataxe,狄奧斯庫洛伊大斧,"Azure greataxe of Pollux, the Dioscuri berserker. Pollux and his twin brother seldomly leave the depths of the seas unless truly lacking in other hobbies.",狂戰士波魯克斯的大斧.波魯克斯和其雙子兄長除非閒到不行才會離開那深海.
645,Ascalon,阿斯卡隆聖劍,An adorned sword forged of the most blessed of materials. It's great light can illuminate your path while blinding your opponents.,用最被祝福的材料鍛造的裝飾劍。強大的光線可以照亮你的道路，同時使對手盲目。
646,Rapier,刺劍,"A simple rapier, useful for sparring. It has a great chance at catching an opponent off guard.",適合用來突刺的精簡刺劍.有高機率讓對手解除防衛.
647,Midnight Eye,午夜之眼,A strange twilight eye imbued with even stranger magic. Keeping this in your hand will grand you more visibility at night while boosting HP and mana.,
648,Lost Helmet,失落頭盔,"Lost, durable helmet of a now monstrous fallen warrior. Wearing it increases the amount of orns earned.",已淪為魔物的墮落勇士的頭盔.戴上它能提升獲得的歐幣.
649,Dragonsong,千年龍詩,An instrument often used to sooth dragons. Its song has the rare chance to temporarily boost one's magical prowess.,常用來安撫龍的樂器.它的音色有時候能提升使用者的魔力.
650,Lute,魯特琴,"A simple bard's lute, playing it in battle may temporarily boost one's attack or magic.",詩人用的簡易魯特琴，於戰鬥中彈奏可以暫時增加物攻或魔攻。
651,Hardwood Lute,硬木魯特琴,"A talented bard's lute, playing it in battle may temporarily boost one's defenses.","詩人的魯特琴,有機會能暫時提升物理防禦."
652,Dioscuri Ring,狄奧斯庫洛伊戒指,A strange magical ring of the Dioscuri. Those who do not possess physical strength can equip this ring to sacrifice magic for attack power.,狄奧斯庫洛伊兄弟的奇妙魔力戒指.不太擅長物理的人能戴上它用魔力換取物理攻擊力.
653,Vipersong,蛇龍詠歌,An instrument often used to sooth the greatest of dragons. Its song has the rare chance to temporarily give useful statuses.,常用來安撫至高無上巨龍的樂器.它所演奏出的樂曲有極少的機率能短暫賦予有用的狀態影響.
654,Bonesong,骨歌,An instrument of a long fallen Odok warrior. Its song has the rare chance to temporarily boost one's critical hit rate.,來自亡骸戰士的樂器。有機會暫時提升暴擊率。
655,Dioscuri Magic Ring,狄奧斯庫洛伊魔法戒指,A strange magical ring of the Dioscuri. Those who are not trained in magical arts can equip this ring to sacrifice physical strength for magic power.,狄奧斯庫洛伊兄弟的詭異魔法戒指.不擅長魔法的人能戴上它用物理能力換取魔力.
656,Nothren Greaves,北族護脛,Heavy armor of Nothren berserkers.,北族狂戰士的重裝甲.
657,Nothren Armor,北族盔甲,Heavy armor of Nothren berserkers.,北族狂戰士的重裝甲.
658,Nothren Helmet,北族頭盔,Heavy armor of Nothren berserkers.,北族狂戰士的重裝甲.
659,Nothren Cowl,北族風帽,Light armor of Nothren raiders.,北族強襲者的輕裝甲.
660,Nothren Garb,北族皮甲,Light armor of Nothren raiders.,北族強襲者的輕裝甲.
661,Nothren Boots,北族長靴,Light armor of Nothren raiders.,北族強襲者的輕裝甲.
662,Nothren Robe,北族長袍,Magical attire of Nothren warlocks.,北族術士的魔法裝。
663,Nothren Shoes,北族之鞋,Magical attire of Nothren warlocks.,北族術士的魔法裝。
664,Avalon Melody,阿瓦隆旋律,Famed golden flute of an Avalon bard. Playing its songs can temporarily raise one's magical defense.,阿瓦隆詩人所持有的著名金色長笛，演奏時可以暫時增加魔防。
665,Nothren Hood,北族兜帽,Magical attire of Nothren warlocks.,北族術士的魔法裝。
666,Baldur,巴德爾光石,"A chunk of Baldur, favoured by the raiders of Nothren.",
667,Sempre Forte,重音吉他,A relic of Apollyon's less destructive years.,亞坡倫還沒開始搞破壞時的遺物。
668,Wooden Shield,木盾,A simple shield made of hardened wood.,用堅固木頭打造的盾.
669,Balor Shield,巴羅爾盾牌,A decorated shield often carried by Balor warriors.,巴羅爾戰士的裝飾盾.
670,Arch-Rune Shield,奧術符文盾,Mystical shield that boasts extra magical defense.,
671,Duke's Shield,公爵盾,A shield portraying the emblem of a great duke.,刻有大公國徽記的盾牌。
672,Fallen Shield,墮落盾牌,"A heavy shield carried by knights of Mammon, the demon of hubris. It grants one immunity to being Cursed.",所屬於傲慢的惡魔-瑪門的騎士所持的厚重盾牌.能免疫於被詛咒.
673,Templar Shield,聖殿騎士盾,The shield of a mighty templar knight. It provides extra physical defense.,強大的聖殿騎士之盾。它提供了額外的物理防禦。
674,Rune Shield,符文盾,Mystical shield that boasts extra magic defense.,能提升魔防的秘術盾牌.
675,Tower Shield,塔盾,A gigantic shield that offers extra physical and magic defense at the expense of attack and magic.,犧牲攻擊力以換取額外防禦力的巨大盾牌。
676,Side-arm,側臂,"A small dagger, carried in your off-hand. It slightly increases attack at the expense of ward.",
677,Dragon Crested Shield,龍紋盾,A shield crested the image of a dragon. It protects one against Dragon attacks while boosting Ward.,
678,Nothren Shield,北族之盾,Shield carried by berserkers of the Northern lands. It protects one from the cold.,北族領地的狂戰士使用的盾.能夠禦寒.
679,Whisper,低語,"A sharp trusty dagger, carried in your off-hand.  It gives your attacks the chance to cause an opponent to bleed, at the expense of Ward.",
680,Crest of Avalon,阿瓦隆的紋章,An easily recognizable shield depicting the crest of Avalon.,容易辨識的盾牌，上面印有阿瓦隆的紋章。
681,Buckler,小盾,A simple buckler.,就是個小盾.
682,Bone Shield,骨盾,A shield made of hardened monster bone.,用堅固的魔物之骨做的盾.
683,Heavy Arrows,重箭矢,"A quiver of arrows that are immensely heavy. Carrying these arrows in your off-hand gives the greater chance to stun an opponent, at the expense of ward.",
684,Arch-Gizmo,新版小玩意,"One of the concoctions of Cade, the great inventor. This gizmo prevents one from having their dexterity, physical or magical prowess lowered.","偉大發明家卡德的發明之一.這小東西能防止敏捷,物理或魔法攻擊被降低."
685,Tizona,提佐納,"A greatsword often used in defensive swordplay by the almighty knight, Balin. Strikes of the sword have the ability to lower an opponent's physical or magical defenses.",全能的騎士巴林用來施展防衛劍術的大劍.他的斬擊能降低對手的物理或魔法防禦力.
686,Colada,科拉達,"A greatsword often used in offensive swordplay by the almighty knight, Balin. Strikes of the sword have the ability to lower an opponent's physical or magical prowess.",全能的騎士巴林用來施展攻擊劍術的大劍.他的斬擊能降低對手的物理或魔法攻擊力.
687,Genius,吉尼爾斯,"The easily recognizable pole-arm of Cade, the great Avalonian inventor. Its hidden features can cause a variety of status effects.",偉大的阿瓦隆發明家卡德廣為人知的長武器.能造成多種異常狀態.
688,Avalon Knight Helmet,阿瓦隆騎士頭盔,Heavy armor of prestigious Avalon knights.,德高望重的阿瓦隆騎士的重裝甲.
689,Avalon Knight Leggings,阿瓦隆騎士腿甲,Heavy armor of prestigious Avalon knights.,德高望重的阿瓦隆騎士的重裝甲.
690,Avalon Knight Armor,阿瓦隆騎士盔甲,Heavy armor of prestigious Avalon knights.,德高望重的阿瓦隆騎士的重裝甲.
691,Arisen Bone Shield,重生骨盾,A shield made of harden monster bone.,
692,Arch-Gadget,新版小發明,"One of the concoctions of Cade, the great inventor. This gadget prevents one from having their physical or magical defense lowered.",偉大發明家卡德的發明之一.這小東西能防止物理或魔法防禦被降低.
693,Rosewood Lute,紅木魯特琴,"A talented bard's lute, playing it in battle may temporarily boost one's stats.",天才詩人持有的魯特琴，於戰鬥中演奏可以暫時提昇持有者的狀態。
